2L	88328	94262	-	OG0001402	Dyak_NY73PB	jg14315.t1
2L	100562	128803	-	OG0001403	Dyak_NY73PB	jg14318.t1
2L	137188	140437	+	OG0001404	Dyak_NY73PB	jg14319.t1
2L	153617	161798	-	OG0001405	Dyak_NY73PB	jg14321.t1
2L	174909	177085	-	OG0001406	Dyak_NY73PB	jg14324.t1
2L	179133	183771	+	OG0001407	Dyak_NY73PB	jg14325.t2
2L	185855	189740	-	OG0001408	Dyak_NY73PB	jg14326.t1
2L	208823	209463	-	OG0001409	Dyak_NY73PB	jg14329.t1
2L	211282	212640	-	OG0001410	Dyak_NY73PB	jg14331.t1
2L	213658	214380	+	OG0001411	Dyak_NY73PB	jg14332.t1
2L	214752	223456	-	OG0001412	Dyak_NY73PB	jg14333.t1
2L	224031	225603	-	OG0001413	Dyak_NY73PB	jg14334.t1
2L	225964	226342	+	OG0001414	Dyak_NY73PB	jg14335.t1
2L	226636	227946	+	OG0001415	Dyak_NY73PB	jg14336.t1
2L	228348	229023	-	OG0001416	Dyak_NY73PB	jg14337.t1
2L	246836	273610	+	OG0001417	Dyak_NY73PB	jg14338.t1
2L	275917	276777	+	OG0001418	Dyak_NY73PB	jg14339.t1
2L	277095	278106	-	OG0001419	Dyak_NY73PB	jg14340.t1
2L	308191	309575	+	OG0001421	Dyak_NY73PB	jg14343.t1
2L	309601	317936	-	OG0001420	Dyak_NY73PB	jg14344.t1
2L	327164	328292	-	OG0001422	Dyak_NY73PB	jg14345.t1
2L	328674	330381	-	OG0001423	Dyak_NY73PB	jg14346.t1
2L	340231	343146	-	OG0001424	Dyak_NY73PB	jg14347.t1
2L	345825	347955	+	OG0001425	Dyak_NY73PB	jg14348.t1
2L	348610	350334	-	OG0001426	Dyak_NY73PB	jg14349.t1
2L	350792	351376	+	OG0001427	Dyak_NY73PB	jg14350.t1
2L	351734	353952	-	OG0001428	Dyak_NY73PB	jg14351.t1
2L	354726	358242	+	OG0001429	Dyak_NY73PB	jg14352.t1
2L	358990	359885	-	OG0001430	Dyak_NY73PB	jg14353.t1
2L	360627	362409	-	OG0001431	Dyak_NY73PB	jg14354.t1
2L	364304	367947	-	OG0001432	Dyak_NY73PB	jg14356.t1
2L	369518	369928	+	OG0001433	Dyak_NY73PB	jg14357.t1
2L	370591	371462	-	OG0001434	Dyak_NY73PB	jg14358.t1
2L	372334	374068	+	OG0001435	Dyak_NY73PB	jg14359.t1
2L	376023	379887	+	OG0001436	Dyak_NY73PB	jg14360.t1
2L	396977	397792	-	OG0001438	Dyak_NY73PB	jg14361.t1
2L	399168	400001	-	OG0001439	Dyak_NY73PB	jg14362.t1
2L	400921	401775	+	OG0001440	Dyak_NY73PB	jg14363.t1
2L	406474	408555	-	OG0001441	Dyak_NY73PB	jg14364.t1
2L	408886	411141	-	OG0001442	Dyak_NY73PB	jg14365.t1
2L	413302	424583	+	OG0001437	Dyak_NY73PB	jg14366.t1
2L	427585	429357	-	OG0001443	Dyak_NY73PB	jg14367.t1
2L	450425	453283	+	OG0001444	Dyak_NY73PB	jg14369.t1
2L	463044	467968	-	OG0001445	Dyak_NY73PB	jg14370.t1
2L	470640	474149	+	OG0001446	Dyak_NY73PB	jg14371.t1
2L	475659	479700	-	OG0001447	Dyak_NY73PB	jg14372.t1
2L	481939	484180	+	OG0001448	Dyak_NY73PB	jg14373.t1
2L	485141	486100	-	OG0001449	Dyak_NY73PB	jg14374.t1
2L	487052	487538	+	OG0001450	Dyak_NY73PB	jg14375.t1
2L	487892	488317	-	OG0001451	Dyak_NY73PB	jg14376.t1
2L	488746	489382	+	OG0001452	Dyak_NY73PB	jg14377.t1
2L	490390	492234	+	OG0001453	Dyak_NY73PB	jg14378.t1
2L	505873	515066	+	OG0001454	Dyak_NY73PB	jg14379.t1
2L	516846	518601	-	OG0001455	Dyak_NY73PB	jg14380.t1
2L	521185	522327	+	OG0001456	Dyak_NY73PB	jg14381.t1
2L	523318	525692	+	OG0001457	Dyak_NY73PB	jg14382.t1
2L	527833	533993	-	OG0001458	Dyak_NY73PB	jg14383.t1
2L	540339	542889	+	OG0001459	Dyak_NY73PB	jg14384.t1
2L	544106	546636	-	OG0001460	Dyak_NY73PB	jg14385.t1
2L	558842	611003	+	OG0001461	Dyak_NY73PB	jg14386.t1
2L	612972	613451	-	OG0001462	Dyak_NY73PB	jg14387.t1
2L	613513	615788	-	OG0001463	Dyak_NY73PB	jg14388.t1
2L	616453	618115	+	OG0001464	Dyak_NY73PB	jg14389.t1
2L	618635	620557	-	OG0001465	Dyak_NY73PB	jg14390.t1
2L	625418	630247	-	OG0001466	Dyak_NY73PB	jg14392.t1
2L	631108	631724	+	OG0001467	Dyak_NY73PB	jg14393.t1
2L	635745	637847	+	OG0001468	Dyak_NY73PB	jg14395.t1
2L	637944	639556	-	OG0001469	Dyak_NY73PB	jg14396.t1
2L	640017	644279	+	OG0001470	Dyak_NY73PB	jg14397.t1
2L	644867	645823	-	OG0001471	Dyak_NY73PB	jg14398.t1
2L	646303	646899	+	OG0001472	Dyak_NY73PB	jg14399.t1
2L	647431	648159	-	OG0001473	Dyak_NY73PB	jg14400.t1
2L	649619	650853	+	OG0001474	Dyak_NY73PB	jg14401.t1
2L	656021	670647	-	OG0001475	Dyak_NY73PB	jg14403.t1
2L	674753	675197	+	OG0001476	Dyak_NY73PB	jg14404.t1
2L	714505	731222	-	OG0001478	Dyak_NY73PB	jg14406.t1
2L	804279	807083	-	OG0001479	Dyak_NY73PB	jg14411.t1
2L	819100	827059	+	OG0001480	Dyak_NY73PB	jg14412.t1
2L	846428	847961	+	OG0001481	Dyak_NY73PB	jg14416.t1
2L	848763	850481	+	OG0001482	Dyak_NY73PB	jg14417.t1
2L	850604	854991	-	OG0001483	Dyak_NY73PB	jg14418.t1
2L	877086	878782	+	OG0001484	Dyak_NY73PB	jg14420.t1
2L	878973	881347	-	OG0001485	Dyak_NY73PB	jg14421.t1
2L	881599	882492	+	OG0001486	Dyak_NY73PB	jg14422.t1
2L	882562	883414	-	OG0001487	Dyak_NY73PB	jg14423.t1
2L	883971	884795	-	OG0001488	Dyak_NY73PB	jg14424.t1
2L	885514	886404	+	OG0001489	Dyak_NY73PB	jg14425.t1
2L	887084	889337	+	OG0001490	Dyak_NY73PB	jg14426.t1
2L	890040	891404	-	OG0001491	Dyak_NY73PB	jg14427.t1
2L	895365	897763	+	OG0001492	Dyak_NY73PB	jg14428.t1
2L	918986	920455	+	OG0001493	Dyak_NY73PB	jg14431.t1
2L	921661	922225	+	OG0001494	Dyak_NY73PB	jg14432.t1
2L	922433	928018	+	OG0001495	Dyak_NY73PB	jg14433.t1
2L	928605	931209	-	OG0001496	Dyak_NY73PB	jg14434.t1
2L	935366	936400	-	OG0001497	Dyak_NY73PB	jg14435.t1
2L	938206	943397	+	OG0001498	Dyak_NY73PB	jg14436.t1
2L	944053	944863	+	OG0001499	Dyak_NY73PB	jg14437.t1
2L	944967	951680	-	OG0001500	Dyak_NY73PB	jg14438.t1
2L	983580	987148	+	OG0001501	Dyak_NY73PB	jg14442.t1
2L	1066309	1080600	-	OG0001502	Dyak_NY73PB	jg14445.t1
2L	1113884	1114900	+	OG0001503	Dyak_NY73PB	jg14448.t1
2L	1128733	1139003	-	OG0001504	Dyak_NY73PB	jg14451.t1
2L	1154907	1157585	+	OG0001505	Dyak_NY73PB	jg14452.t1
2L	1158122	1159723	+	OG0001506	Dyak_NY73PB	jg14453.t1
2L	1160899	1164816	-	OG0001507	Dyak_NY73PB	jg14454.t1
2L	1190786	1191759	+	OG0001508	Dyak_NY73PB	jg14457.t1
2L	1193606	1207035	-	OG0001509	Dyak_NY73PB	jg14458.t1
2L	1207754	1210221	+	OG0001510	Dyak_NY73PB	jg14459.t1
2L	1210676	1212361	-	OG0001511	Dyak_NY73PB	jg14460.t1
2L	1212628	1218662	+	OG0001512	Dyak_NY73PB	jg14461.t1
2L	1222411	1226144	+	OG0001513	Dyak_NY73PB	jg14462.t1
2L	1226957	1228471	+	OG0001514	Dyak_NY73PB	jg14463.t1
2L	1228631	1229764	-	OG0001515	Dyak_NY73PB	jg14464.t1
2L	1229984	1230532	+	OG0001516	Dyak_NY73PB	jg14465.t1
2L	1240035	1242798	-	OG0001517	Dyak_NY73PB	jg14469.t1
2L	1244271	1246089	+	OG0001518	Dyak_NY73PB	jg14470.t1
2L	1246997	1249539	-	OG0001519	Dyak_NY73PB	jg14472.t1
2L	1250436	1250853	+	OG0001520	Dyak_NY73PB	jg14473.t1
2L	1250881	1252910	-	OG0001521	Dyak_NY73PB	jg14474.t1
2L	1264621	1265972	+	OG0001522	Dyak_NY73PB	jg14478.t1
2L	1272404	1277354	+	OG0001523	Dyak_NY73PB	jg14479.t2
2L	1279599	1281640	-	OG0001524	Dyak_NY73PB	jg14480.t1
2L	1285620	1286287	+	OG0001525	Dyak_NY73PB	jg14482.t1
